"cod_universidad","des_universidad","anio","cod_capitulo","des_capitulo","cod_articulo","des_articulo","cod_concepto","des_concepto","cod_subconcepto","des_subconcepto","cod_partida","des_partida","cod_seccion","des_seccion","cod_servicio","des_servicio","cod_unidad_de_coste","des_unidad_de_coste","cod_organica_libre_1","des_organica_libre_1","cod_organica_libre_2","des_organica_libre_2","fecha_referencia","credito_inicial","modificaciones","credito_total","derechos_reconocidos_netos","recaudacion_neta"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","31122017","160000","0","160000","-7041,8","-7041,8"
"023","Universidad Autónoma de Madrid","2017","4","Transferencias Corrientes","48","De Familias e Inst. sin fines de lucro","489","Otras Transfrencias corrientes de Familias e I. sin fines de lucro","489.99","De otras familias e instituciones","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","31122017","0","2000","2000","2000","2000"
"023","Universidad Autónoma de Madrid","2017","6","Enajenación de inversiones reales","68","Reintegros por operación de Capital","681","Del presupuesto corriente","681.00","Reintegros ejercicio corriente","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","31122017","0","0","0","125,51","125,51"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.04","Contratos art. 83 LOU","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.01","Viceg. Estudios y Ext. Universitaria. Financiación afectada","07.30.01.12","Convenio Ecuador UAM","(no informado)","(no informado)","31122017","0","0","0","1681638,22","1681638,22"
"023","Universidad Autónoma de Madrid","2017","8","Activos financieros","87","Remanente de Tesorería","870","Remanente de Tesorería","870.03","Remanente específico con financiación afectada","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.01","Viceg. Estudios y Ext. Universitaria. Financiación afectada","07.30.01.12","Convenio Ecuador UAM","(no informado)","(no informado)","31122017","0","35600","35600","0","0"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.04","Contratos art. 83 LOU","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.01","Viceg. Estudios y Ext. Universitaria. Financiación afectada","07.30.01.13","Convenio con Paraguay SEPIE-UAM","(no informado)","(no informado)","31122017","0","0","0","106182,4","106182,4"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.04","Contratos art. 83 LOU","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.01","Viceg. Estudios y Ext. Universitaria. Financiación afectada","07.30.01.14","(OCULTO)","(no informado)","(no informado)","31122017","0","0","0","14544,18","5336,66"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.01","Vicegerencia de Estudios y Extensión Universitaria","08.30.01.03","Fundacion UAM Gestión Delegada","(no informado)","(no informado)","31122017","5000000","0","5000000","2368492,42","2368492,42"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.00","Títulos Propios","08.30.TP.00.00","Ingresos Títulos Propios no identificados","31122017","0","0","0","35058,43","35058,43"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.00","Títulos Propios","08.30.TP.00.01","Canon cursos de corta duración","31122017","0","0","0","298174,02","298174,02"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.00","Títulos Propios","08.30.TP.00.02","Canon Títulos Propios","31122017","0","0","0","774267,87","672611,98"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.01","Títulos Propios F. de Ciencias","08.30.TP.01.04","Master en Ingeniería Nuclear y Aplicaciones","31122017","0","0","0","29211,25","29211,25"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.01","Títulos Propios F. de Ciencias","08.30.TP.01.05","Master en gestión y tratamiento de residuos","31122017","0","0","0","12710,22","12710,22"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.01","Títulos Propios F. de Ciencias","08.30.TP.01.09","Curso de Universidad de la Experiencia sobre Ciencias y Ciencias Sociales","31122017","0","0","0","18670,25","18670,25"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.02","Títulos Propios F. de Ciencias Económicas y Empresariales","08.30.TP.02.02","(OCULTO)","31122017","0","0","0","2430","2430"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.02","Títulos Propios F. de Ciencias Económicas y Empresariales","08.30.TP.02.05","Máster en microcréditos para el desarrollo","31122017","0","0","0","39418,75","39418,75"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.02","Títulos Propios F. de Ciencias Económicas y Empresariales","08.30.TP.02.22","Máster en Inteligencia Económica","31122017","0","0","0","46326,7","46326,7"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.03","Titulos Propios F. Filosofía y Letras","08.30.TP.03.03","Master de edición UAM EDELVIVES. Taller de Libros","31122017","0","0","0","142282,06","142282,06"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.03","Titulos Propios F. Filosofía y Letras","08.30.TP.03.13","Experto en el Mundo Actual Claves y Desafíos","31122017","0","0","0","126991,88","126991,88"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.03","Titulos Propios F. Filosofía y Letras","08.30.TP.03.17","Experto en intervención social y gestión de la diversidad en el ambito local","31122017","0","0","0","4143,11","4143,11"
"023","Universidad Autónoma de Madrid","2017","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 83 L.O.U","(no informado)","(no informado)","08","VICERRECTORADO DE RELACIONES INSTITUCIONALES Y EMPLEABILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.TP","TÍTULOS PROPIOS","08.30.TP.03","Titulos Propios F. Filosofía y Letras","08.30.TP.03.18","Curso de Universidad de la Experiencia sobre Humanidades y Ciencias Sociales","31122017","0","0","0","15444,5","15444,5"
