"identificador","link_licitacion","fecha_actualizacion","vigente_o_anulada_o_archivada","primera_publicacion","estado","numero_de_expediente","objeto_del_contrato","identificador_unico_ted","valor_estimado_del_contrato","presupuesto_base_sin_impuestos","presupuesto_base_con_impuestos","CPVs","numero_CPVs","cpv_1","des_cpv_1","cpv_2","des_cpv_2","cpv_3","des_cpv_3","cpv_4","des_cpv_4","cpv_5","des_cpv_5","cpv_6","des_cpv_6","cpv_7","des_cpv_7","cpv_8","des_cpv_8","cpv_9","des_cpv_9","cpv_10","des_cpv_10","cpv_11","des_cpv_11","cpv_12","des_cpv_12","cpv_13","des_cpv_13","cpv_14","des_cpv_14","cpv_15","des_cpv_15","cpv_16","des_cpv_16","cpv_17","des_cpv_17","cpv_18","des_cpv_18","cpv_19","des_cpv_19","cpv_20","des_cpv_20","tipo_de_contrato","contrato_mixto","lugar_de_ejecucion","des_lugar_de_ejecucion","lat_lugar_de_ejecucion","lon_lugar_de_ejecucion","organo_de_contratacion","id_oc_en_placsp","nif_oc","dir3","enlace_al_perfil_de_contratante_del_oc","tipo_de_administracion","codigo_postal","tipo_de_procedimiento","sistema_de_contratacion","tramitacion","forma_de_presentacion_de_la_oferta","fecha_de_presentacion_de_ofertas","fecha_de_presentacion_de_solicitudes_de_participacion","directiva_de_aplicacion","contrato_sara_o_umbral","financiacion_europea_y_fuente","descripcion_de_la_financiacion_europea","subasta_electronica","subcontratacion_permitida","subcontratacion_permitida_porcentaje","lote","objeto_licitacion_o_lote","valor_estimado_licitacion_o_lote","presupuesto_base_con_impuestos_licitacion_o_lote","presupuesto_base_sin_impuestos_licitacion_o_lote","CPVs_lote","numero_CPVs_lote","cpv_lote_1","des_cpv_lote_1","cpv_lote_2","des_cpv_lote_2","cpv_lote_3","des_cpv_lote_3","cpv_lote_4","des_cpv_lote_4","cpv_lote_5","des_cpv_lote_5","cpv_lote_6","des_cpv_lote_6","cpv_lote_7","des_cpv_lote_7","cpv_lote_8","des_cpv_lote_8","cpv_lote_9","des_cpv_lote_9","cpv_lote_10","des_cpv_lote_10","cpv_lote_11","des_cpv_lote_11","cpv_lote_12","des_cpv_lote_12","cpv_lote_13","des_cpv_lote_13","cpv_lote_14","des_cpv_lote_14","cpv_lote_15","des_cpv_lote_15","cpv_lote_16","des_cpv_lote_16","cpv_lote_17","des_cpv_lote_17","cpv_lote_18","des_cpv_lote_18","cpv_lote_19","des_cpv_lote_19","cpv_lote_20","des_cpv_lote_20","lugar_ejecucion_licitacion_o_lote","des_lugar_de_ejecucion_licitacion_o_lote","lat_lugar_de_ejecucion_licitacion_o_lote","lon_lugar_de_ejecucion_licitacion_o_lote","resultado_licitacion_o_lote","fecha_del_acuerdo_licitacion_o_lote","numero_de_ofertas_recibidas_por_licitacion_o_lote","precio_de_la_oferta_mas_baja_por_licitacion_o_lote","precio_de_la_oferta_mas_alta_por_licitacion_o_lote","ofertas_excluidas_por_anormalmente_bajas_por_licitacion_o_lote","numero_del_contrato_licitacion_o_lote","fecha_formalizacion_del_contrato_licitacion_o_lote","fecha_entrada_en_vigor_del_contrato_de_licitacion_o_lote","adjudicatario_licitacion_o_lote","tipo_de_identificador_de_adjudicatario_por_licitacion_o_lote","identificador_adjudicatario_de_la_licitacion_o_lote","el_adjudicatario_es_o_no_pyme_de_la_licitacion_o_lote","importe_adjudicacion_sin_impuestos_licitacion_o_lote","importe_adjudicacion_con_impuestos_licitacion_o_lote"
"13152290","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=tgmTTjj96o2dkQsA7ROvsg%3D%3D",2024-06-28 16:24:58,"VIGENTE",2023-07-27,"Resuelta","A-5/24","mantenimiento del sistema de climatización de distintas salas del centro de computación científica de la UAM",,"98100","32700","39567","50730000;","1","50730000","Servicios de reparación y mantenimiento de grupos refrigeradores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios","No","ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2023-09-08 23:59:00,,"2014/24/EU","No","No",,"No",,,"Sin lotes","mantenimiento del sistema de climatización de distintas salas del centro de computación científica de la UAM","98100","39567","32700","50730000;","1","50730000","Servicios de reparación y mantenimiento de grupos refrigeradores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-09-21,"1","26915,81","26915,81",,"A-5/24",2023-09-26,,"Climatización de Ambientes Técnicos, SL","NIF","B84557297",TRUE,"26915,81","32568,13"
"9575925","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TDc%2BtHC6BfvnSoTX3z%2F7wA%3D%3D",2024-06-27 11:19:23,"VIGENTE",2022-03-23,"Resuelta","S-17/22","Arrendamiento de licencias de dos productos software, de uso ampliamente extendido en la Universidad Autónoma de Madrid: Microsoft 365 y Adobe Acrobat Pro DC y Creative Cloud. Ambos arrendamientos se acogerán a sus acuerdos de uso para entornos educativos suscritos con CRUE.",,"870636","870636","1053469,56","48000000;48300000;48620000;","3","48000000","Paquetes de software y sistemas de información","48300000","Paquetes de software de creación de documentos, dibujo, tratamiento de imágenes, planificación y productividad","48620000","Sistemas operativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2022-04-18 23:59:00,,"2014/24/EU","Sí","No",,,,,"1","Microsoft 365",,"943800","780000","48000000;48620000;","2","48000000","Paquetes de software y sistemas de información","48620000","Sistemas operativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2022-06-06,"5","604820,7","779887,62",,"S-17/22 Lote 1",2022-07-04,,"ACADEMIC SOFTWARE BV","NIF","BE0635738394",TRUE,"604820,7","731833,05"
"9575925","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TDc%2BtHC6BfvnSoTX3z%2F7wA%3D%3D",2024-06-27 11:19:23,"VIGENTE",2022-03-23,"Resuelta","S-17/22","Arrendamiento de licencias de dos productos software, de uso ampliamente extendido en la Universidad Autónoma de Madrid: Microsoft 365 y Adobe Acrobat Pro DC y Creative Cloud. Ambos arrendamientos se acogerán a sus acuerdos de uso para entornos educativos suscritos con CRUE.",,"870636","870636","1053469,56","48000000;48300000;48620000;","3","48000000","Paquetes de software y sistemas de información","48300000","Paquetes de software de creación de documentos, dibujo, tratamiento de imágenes, planificación y productividad","48620000","Sistemas operativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2022-04-18 23:59:00,,"2014/24/EU","Sí","No",,,,,"2","Acrobat pro DC y servicios asociados",,"109669,56","90636","48000000;48300000;","2","48000000","Paquetes de software y sistemas de información","48300000","Paquetes de software de creación de documentos, dibujo, tratamiento de imágenes, planificación y productividad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2022-05-24,"7","86876,73","90634,5",,"S-17/22 Lote 2",2022-06-16,,"Software Científico S.L.","NIF","B81258220",TRUE,"86876,73","105120,84"
"11682620","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=zDtpA0W3Na57h85%2Fpmmsfw%3D%3D",2024-06-25 08:37:47,"VIGENTE",2022-12-02,"Resuelta","Sa-6/23","Arrendamiento de licencias de software WOOCLAP y GENIALLY destinado a la generación de recursos educativos digitales para la Universidad Autónoma de Madrid",,"43884,3","14628,1","17700","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto simplificado","No aplica","Urgente","Electrónica",2022-12-12 23:59:00,,"2014/24/EU","No","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","UNIDIGITAL UAM, BDNS 582721",,,,"1","Lote 1:Licencia Campus del software Wooclap en modalidad SaaS",,"12100","10000","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-01-15,"1","10000","10000",,"Sa-6/23",2023-01-19,,"Wooclap SA","OTROS","BE0563691645",TRUE,"10000","12100"
"11682620","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=zDtpA0W3Na57h85%2Fpmmsfw%3D%3D",2024-06-25 08:37:47,"VIGENTE",2022-12-02,"Resuelta","Sa-6/23","Arrendamiento de licencias de software WOOCLAP y GENIALLY destinado a la generación de recursos educativos digitales para la Universidad Autónoma de Madrid",,"43884,3","14628,1","17700","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto simplificado","No aplica","Urgente","Electrónica",2022-12-12 23:59:00,,"2014/24/EU","No","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","UNIDIGITAL UAM, BDNS 582721",,,,"2","Lote 2: 250 licencias de uso del software Genially (Plan EDU, tipo ESSENTIAL) en modalidad SaaS",,"5600","4628,1","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Desierto",2022-12-21,"1","0","0",,,,,,,,,,
"10285483","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=rqOCo208QBsSugstABGr5A%3D%3D",2024-06-19 09:31:43,"VIGENTE",2022-06-03,"Resuelta","Aa-19/22","Asesoramiento jurídico y acciones formativas formación a víctimas de violencia de género en la Universidad Autónoma de Madrid",,"28000","14000","16940","79110000;","1","79110000","Servicios de asesoría y representación jurídicas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto simplificado","No aplica","Ordinaria","Electrónica",2022-06-17 23:59:00,,"2014/24/EU","No","No",,,,,"Sin lotes","Asesoramiento jurídico y acciones formativas formación a víctimas de violencia de género en la Universidad Autónoma de Madrid","28000","16940","14000","79110000;","1","79110000","Servicios de asesoría y representación jurídicas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2022-07-13,"3",,,,"Aa-19/22",2022-07-15,,"Beccaria","NIF","G81916918",TRUE,"13147","15907,87"
"12049409","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=IxSgIisJHWqXQV0WE7lYPw%3D%3D",2024-06-19 09:30:24,"VIGENTE",2023-02-03,"Resuelta","Sa-11/23","Arrendamiento de 350 licencias de uso del software Genially (Plan EDU PRO) en modalidad SaaS, destinadas a la creación de recursos educativos digitales interactivos por el profesorado de la Universidad Autónoma de Madrid",,"12727,28","3471,08","4200","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto simplificado","No aplica","Urgente","Electrónica",2023-02-13 23:59:00,,"2014/24/EU","No","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","UNIDIGITAL UAM, BDNS 582721",,,,"Sin lotes","Arrendamiento de 350 licencias de uso del software Genially (Plan EDU PRO) en modalidad SaaS, destinadas a la creación de recursos educativos digitales interactivos por el profesorado de la Universidad Autónoma de Madrid","12727,28","4200","3471,08","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-02-23,"1","1",,,"Sa-11/23",2023-02-23,,"Genially Web S.L.","NIF","b56019912",TRUE,"0","0"
"11275189","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=v4Go2kQIAg%2Brz3GQd5r6SQ%3D%3D",2024-06-18 10:50:37,"VIGENTE",2022-10-01,"Resuelta","A-3/23","Servicios de mantenimiento, soporte y evolución de las aplicaciones informáticas desarrolladas y gestionadas desde la Unidad de Calidad de los Estudios de la Universidad Autónoma de Madrid",,"309917,36","61983,47","75000","72000000;","1","72000000","Servicios TI: consultoría, desarrollo de software, Internet y apoyo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2022-10-21 23:59:00,,"2014/24/EU","No","No",,,,,"Sin lotes","Servicios de mantenimiento, soporte y evolución de las aplicaciones informáticas desarrolladas y gestionadas desde la Unidad de Calidad de los Estudios de la Universidad Autónoma de Madrid","309917,36","75000","61983,47","72000000;","1","72000000","Servicios TI: consultoría, desarrollo de software, Internet y apoyo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2022-11-18,"1","55749,46","55749,46",,"A-3/23",2022-11-26,,"Zener Soft Consulting S.L.","NIF","B86061249",TRUE,"55749,46","67456,85"
"14942858","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=0jl3SxZNxfbpxJFXpLZ%2B2A%3D%3D",2024-06-15 09:07:50,"VIGENTE",2024-05-17,"Resuelta","Aa-33/24","Soporte técnico y actualización de sistema Plataforma de Administración Electrónica, en adelante “PAE”, fundamental para el funcionamiento de la administración electrónica en la Universidad Autónoma de Madrid.",,"59999,99","59999,99","72599,99","72000000;72267000;","2","72000000","Servicios TI: consultoría, desarrollo de software, Internet y apoyo","72267000","Servicios de mantenimiento y reparación de software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios","No","ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto simplificado","No aplica","Ordinaria","Electrónica",2024-05-31 23:59:00,,"2014/24/EU","No","No",,"No",,,"Sin lotes","Soporte técnico y actualización de sistema Plataforma de Administración Electrónica, en adelante “PAE”, fundamental para el funcionamiento de la administración electrónica en la Universidad Autónoma de Madrid.","59999,99","72599,99","59999,99","72000000;72267000;","2","72000000","Servicios TI: consultoría, desarrollo de software, Internet y apoyo","72267000","Servicios de mantenimiento y reparación de software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2024-06-13,"1","59999,99","59999,99",,"Aa-33/24",2024-06-14,2024-06-16,"Global Rosetta S.L.U","NIF","B86867710",FALSE,"59999,99","72599,99"
"15008211","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=a7uwZYJcr7lSYrkJkLlFdw%3D%3D",2024-06-06 10:28:09,"VIGENTE",2024-05-28,"Resuelta","O-2/24","Obras de ampliación de la producción de frío del sistema de climatización del edificio de Biología de la Facultad de Ciencias de la universidad Autónoma de Madrid.",,"419506,96","419506,96","507603,43","45331220;","1","45331220","Trabajos de instalación de aire acondicionado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Obras","No","ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2024-06-13 23:59:00,,"2014/24/EU","No","No",,"No",,,"Sin lotes","Obras de ampliación de la producción de frío del sistema de climatización del edificio de Biología de la Facultad de Ciencias de la universidad Autónoma de Madrid.","419506,96","507603,43","419506,96","45331220;","1","45331220","Trabajos de instalación de aire acondicionado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Desistimiento",2024-06-06,,,,,,,,,,,,,
