cod_universidad,des_universidad,anio,cod_capitulo,des_capitulo,cod_articulo,des_articulo,cod_concepto,des_concepto,cod_subconcepto,des_subconcepto,cod_partida,des_partida,cod_seccion,des_seccion,cod_servicio,des_servicio,cod_unidad_de_coste,des_unidad_de_coste,cod_organica_libre_1,des_organica_libre_1,cod_organica_libre_2,des_organica_libre_2,fecha_referencia,credito_inicial,modificaciones,credito_total,derechos_reconocidos_netos,recaudacion_neta
23,Universidad Autónoma de Madrid,2024,6,Enajenación de inversiones reales,68,Reintegros por operación de Capital,681,Del presupuesto corriente,681.00,Reintegros ejercicio corriente,(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(NO INFORMADO),1012024,0,0,0,0,0
23,Universidad Autónoma de Madrid,2024,4,Transferencias Corrientes,45,De Comunidades Autónomas,450,Transferencias corrientes de la C.M.,450.10,Funcionamiento Consejo Social,(no informado),(no informado),3,CONSEJO SOCIAL,03.60,Vicegerencia de Economía y Recursos Materiales.,03.60.00,Vicegerencia de Economía y Recursos Materiales.,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,168867,0,168867,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",32,Otros ingresos procedentes de prestaciones de servicios,324,"Derecho de alojamiento, restauración y residencia",324.03,"Ingresos ""La Cristalera""",(no informado),(no informado),4,VICERRECTORADO DE CAMPUS E INFRAESTRUCTURAS,04.60,VICEGERENCIA DE ECONOMÍA Y RRMM,04.60.01,"Residencia ""La Cristalera""",(no informado),(no informado),(no informado),(NO INFORMADO),1012024,310000,0,310000,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",39,Otros ingresos,399,Ingresos diversos,399.99,Otros ingresos diversos,(no informado),(no informado),6,ADJUNTO A LA RECTORA PARA CALIDAD DE LOS ESTUDIOS E INNOVACIÓN DOCENTE,06.30,VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA,06.30.00,Vicegerencia de Estudios y Extensión Universitaria.,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,30000,0,30000,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",31,Precios Públicos,311,Servicios académicos por enseñanzas propias,311.00,Estudios o titulaciones propias Art. 83 L.O.U,(no informado),(no informado),7,VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA,07.30,VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA,07.30.00,Vicegerencia de Estudios y Extensión Universitaria.,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,365198,0,365198,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",31,Precios Públicos,311,Servicios académicos por enseñanzas propias,311.00,Estudios o titulaciones propias Art. 83 L.O.U,(no informado),(no informado),7,VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA,07.30,VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA,07.30.01,Viceg. Estudios y Ext. Universitaria. Financiación afectada,07.30.01.15,Fundacion UAM Gestión Delegada Títulos Propios,(no informado),(NO INFORMADO),1012024,5050056,0,5050056,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",32,Otros ingresos procedentes de prestaciones de servicios,329,De otros servicios,329.99,Prestaciones de otros servicios,(no informado),(no informado),8,VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD,08.70,(SIN DESCRIPCIÓN),08.70.01,Responsable de Responsabilidad Social,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,120000,0,120000,0,0
23,Universidad Autónoma de Madrid,2024,4,Transferencias Corrientes,45,De Comunidades Autónomas,450,Transferencias corrientes de la C.M.,450.99,Otras subv. de la C.M.,(no informado),(no informado),8,VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD,08.70,(SIN DESCRIPCIÓN),08.70.01,Responsable de Responsabilidad Social,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,20000,0,20000,0,0
23,Universidad Autónoma de Madrid,2024,4,Transferencias Corrientes,48,De Familias e Inst. sin fines de lucro,489,Otras Transfrencias corrientes de Familias e I. sin fines de lucro,489.99,De otras familias e instituciones,(no informado),(no informado),8,VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD,08.70,(SIN DESCRIPCIÓN),08.70.01,Responsable de Responsabilidad Social,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,110000,0,110000,0,0
23,Universidad Autónoma de Madrid,2024,4,Transferencias Corrientes,49,Del  Exterior,499,Otras transferencias corrientes del exterior,(no informado),(no informado),(no informado),(no informado),8,VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD,08.70,(SIN DESCRIPCIÓN),08.70.01,Responsable de Responsabilidad Social,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,532111,0,532111,0,0
23,Universidad Autónoma de Madrid,2024,7,Transferencias de Capital,76,De Corporaciones Locales,760,De Ayuntamientos,760.00,Ayuntamiento de Madrid,(no informado),(no informado),8,VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD,08.70,(SIN DESCRIPCIÓN),08.70.01,Responsable de Responsabilidad Social,(no informado),(no informado),(no informado),(NO INFORMADO),1012024,140000,0,140000,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",38,Reintegros de operaciones corrientes,381,De ejercicios corrientes,381.00,Reintegros ejercicio corriente,(no informado),(no informado),8,VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD,08.70,(SIN DESCRIPCIÓN),08.70.01,Responsable de Responsabilidad Social,08.70.01.17,PROYECTO ACNUR-UAM EMPRENDIMIENTO 2022,(no informado),(NO INFORMADO),1012024,0,0,0,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",38,Reintegros de operaciones corrientes,381,De ejercicios corrientes,381.00,Reintegros ejercicio corriente,(no informado),(no informado),8,VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD,08.70,(SIN DESCRIPCIÓN),08.70.01,Responsable de Responsabilidad Social,08.70.01.24,Proyecto ACNUR-UAM emprendimiento 2023,(no informado),(NO INFORMADO),1012024,0,0,0,0,0
23,Universidad Autónoma de Madrid,2024,3,"Tasas, Precios Públicos y otros ingresos",39,Otros ingresos,399,Ingresos diversos,399.00,Inscripciones a Congresos,(no informado),(no informado),10,VICERRECTORADO DE POLÍTICA CIENTÍFICA,(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(NO INFORMADO),1012024,100000,0,100000,0,0
23,Universidad Autónoma de Madrid,2024,7,Transferencias de Capital,70,De la Administración del Estado,700,Ministerio de Ciencia e Innovación,700.02,MCI para Programa de Invest. Universitaria,(no informado),(no informado),10,VICERRECTORADO DE POLÍTICA CIENTÍFICA,(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(NO INFORMADO),1012024,37080282,0,37080282,0,0
23,Universidad Autónoma de Madrid,2024,7,Transferencias de Capital,70,De la Administración del Estado,700,Ministerio de Ciencia e Innovación,700.03,MCI Programa FPU Formación Profesorado Universitario,(no informado),(no informado),10,VICERRECTORADO DE POLÍTICA CIENTÍFICA,(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(NO INFORMADO),1012024,2152812,0,2152812,0,0
23,Universidad Autónoma de Madrid,2024,7,Transferencias de Capital,70,De la Administración del Estado,700,Ministerio de Ciencia e Innovación,700.04,MCI Programa FPI Formación Personal Investigador,(no informado),(no informado),10,VICERRECTORADO DE POLÍTICA CIENTÍFICA,(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(NO INFORMADO),1012024,2879823,0,2879823,0,0
23,Universidad Autónoma de Madrid,2024,7,Transferencias de Capital,70,De la Administración del Estado,700,Ministerio de Ciencia e Innovación,700.09,MCI Programa Ramón y Cajal,(no informado),(no informado),10,VICERRECTORADO DE POLÍTICA CIENTÍFICA,(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(NO INFORMADO),1012024,2425341,0,2425341,0,0
23,Universidad Autónoma de Madrid,2024,7,Transferencias de Capital,70,De la Administración del Estado,700,Ministerio de Ciencia e Innovación,700.10,MCI Contratos Postdoctorales,(no informado),(no informado),10,VICERRECTORADO DE POLÍTICA CIENTÍFICA,(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(no informado),(NO INFORMADO),1012024,871088,0,871088,0,0
