"cod_universidad","des_universidad","anio","cod_capitulo","des_capitulo","cod_articulo","des_articulo","cod_concepto","des_concepto","cod_subconcepto","des_subconcepto","cod_partida","des_partida","cod_seccion","des_seccion","cod_servicio","des_servicio","cod_unidad_de_coste","des_unidad_de_coste","cod_organica_libre_1","des_organica_libre_1","cod_organica_libre_2","des_organica_libre_2","fecha_referencia","credito_inicial","modificaciones","credito_total","derechos_reconocidos_netos","recaudacion_neta"
"023","Universidad Autónoma de Madrid","2025","4","Transferencias Corrientes","45","De Comunidades Autónomas","450","Transferencias corrientes de la C.M.","450.10","Funcionamiento Consejo Social","(no informado)","(no informado)","03","CONSEJO SOCIAL","03.60","Vicegerencia de Economía y Recursos Materiales.","03.60.00","Vicegerencia de Economía y Recursos Materiales.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","01012025","168867","0","168867","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","324","Derecho de alojamiento, restauración y residencia","324.03","Ingresos ""La Cristalera""","(no informado)","(no informado)","04","VICERRECTORADO DE CAMPUS E INFRAESTRUCTURAS","04.60","VICEGERENCIA DE ECONOMÍA Y RRMM","04.60.01","Residencia ""La Cristalera""","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","01012025","450000","0","450000","0","0"
"023","Universidad Autónoma de Madrid","2025","4","Transferencias Corrientes","47","De Empresas Privadas","471","Transf. corrientes de Empresas Privadas","471.18","Banco Santander Central Hispano","(no informado)","(no informado)","04","VICERRECTORADO DE CAMPUS E INFRAESTRUCTURAS","04.60","VICEGERENCIA DE ECONOMÍA Y RRMM","04.60.01","Residencia ""La Cristalera""","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","01012025","37000","0","37000","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","39","Otros ingresos","399","Ingresos diversos","399.99","Otros ingresos diversos","(no informado)","(no informado)","06","ADJUNTO A LA RECTORA PARA CALIDAD DE LOS ESTUDIOS E INNOVACIÓN DOCENTE","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","01012025","20000","0","20000","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.00","T?TULOS PROPIOS","07.30.TP.00.02","CANON TÍTULOS PROPIOS","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.03","TÍTULOS PROPIOS FACULTAD DE FILOSOFÍA Y LETRAS","07.30.TP.03.22","DIPLOMA DE EXPERTO EN GESTIÓN DOCUMENTAL Y ARCHIVOS","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.04","TÍTULOS PROPIOS FACULTAD DE MEDICINA","07.30.TP.04.31","MÁSTER EN ECOGRAFÍA CLÍNICA EN EL PUNTO DE ATENCIÓN","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.05","TÍTULOS PROPIOS FACULTAD DE DERECHO","07.30.TP.05.05","MÁSTER EN CONTRATACIÓN PÚBLICA LOCAL","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.05","TÍTULOS PROPIOS FACULTAD DE DERECHO","07.30.TP.05.18","MÁSTER EN DERECHO  URBANÍSTICO Y TERRITORIAL DE LA COMUNIDAD DE MADRID","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.05","TÍTULOS PROPIOS FACULTAD DE DERECHO","07.30.TP.05.24","DIPLOMA DE EXPERTO EN ASUNTOS PÚBLICOS, RELACIONES INSTITUCIONALES Y LOBBY","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.06","(SIN DESCRIPCIÓN)","07.30.TP.06.22","EXPERTO EN TERAPIA SEXUAL Y DE PAREJA","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.06","(SIN DESCRIPCIÓN)","07.30.TP.06.24","(OCULTO)","01012025","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2025","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","Estudios o titulaciones propias Art. 60 L.O.S.U","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.06","(SIN DESCRIPCIÓN)","07.30.TP.06.27","MÁSTER EN ANÁLISIS DE LA CONDUCTA","01012025","0","0","0","0","0"
