"cod_universidad","des_universidad","anio","cod_capitulo","des_capitulo","cod_articulo","des_articulo","cod_concepto","des_concepto","cod_subconcepto","des_subconcepto","cod_partida","des_partida","cod_seccion","des_seccion","cod_servicio","des_servicio","cod_unidad_de_coste","des_unidad_de_coste","cod_organica_libre_1","des_organica_libre_1","cod_organica_libre_2","des_organica_libre_2","fecha_referencia","credito_inicial","modificaciones","credito_total","derechos_reconocidos_netos","recaudacion_neta"
"023","Universidad Autónoma de Madrid","2021","6","Enajenación de inversiones reales","68","Reintegros por operación de Capital","680","De ejercicios cerrados","680.00","Reintegros ejercicios cerrados","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","31122021","0","0","0","4206,55","4206,55"
"023","Universidad Autónoma de Madrid","2021","6","Enajenación de inversiones reales","68","Reintegros por operación de Capital","681","Del presupuesto corriente","681.00","Reintegros ejercicio corriente","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","31122021","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","324","Derecho de alojamiento, restauración y residencia","324.03","Ingresos ""La Cristalera""","(no informado)","(no informado)","04","VICERRECTORADO DE CAMPUS Y SOSTENIBILIDAD","04.60","VICEGERENCIA DE ECONOMÍA Y RRMM","04.60.00","VICEGERENCIA DE ECONOMÍA Y RECURSOS MATERIALES","(no informado)","(no informado)","(no informado)","(no informado)","31122021","27220","0","27220","32484,06","32484,06"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","06","Vicerrectorado de Docencia, Innovación Educativa y Calidad","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","31122021","20000","0","20000","0","0"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.00","Alquileres de locales","(no informado)","(no informado)","06","Vicerrectorado de Docencia, Innovación Educativa y Calidad","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","31122021","0","0","0","368,59","347,93"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","39","Otros ingresos","399","Ingresos diversos","399.99","Otros ingresos diversos","(no informado)","(no informado)","06","Vicerrectorado de Docencia, Innovación Educativa y Calidad","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","31122021","0","2600,93","2600,93","47030,3","47030,3"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","38","Reintegros de operaciones corrientes","381","De ejercicios corrientes","381.00","Reintegros ejercicio corriente","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.01","FACULTAD DE CIENCIAS","07.01.00","Facultad de Ciencias","(no informado)","(no informado)","(no informado)","(no informado)","31122021","0","0","0","262,61","262,61"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","38","Reintegros de operaciones corrientes","381","De ejercicios corrientes","381.00","Reintegros ejercicio corriente","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.MU","Masteres Universitarios","07.30.MU.02","Masteres Unviersitarios Facultad de Ciencias Económicas","(no informado)","(no informado)","31122021","0","0","0","625,26","625,26"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","38","Reintegros de operaciones corrientes","381","De ejercicios corrientes","381.00","Reintegros ejercicio corriente","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.MU","Masteres Universitarios","07.30.MU.03","Masteres Universitarios Facultad de Filosofía y Letras","(no informado)","(no informado)","31122021","0","0","0","174,2","174,2"
"023","Universidad Autónoma de Madrid","2021","3","Tasas, Precios Públicos y otros ingresos","38","Reintegros de operaciones corrientes","381","De ejercicios corrientes","381.00","Reintegros ejercicio corriente","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.MU","Masteres Universitarios","07.30.MU.06","Masteres Universitarios Facultad de Psicología","(no informado)","(no informado)","31122021","0","0","0","64,5","64,5"
