"cod_universidad","des_universidad","anio","cod_capitulo","des_capitulo","cod_articulo","des_articulo","cod_concepto","des_concepto","cod_subconcepto","des_subconcepto","cod_partida","des_partida","cod_seccion","des_seccion","cod_servicio","des_servicio","cod_unidad_de_coste","des_unidad_de_coste","cod_organica_libre_1","des_organica_libre_1","cod_organica_libre_2","des_organica_libre_2","fecha_referencia","credito_inicial","modificaciones","credito_total","derechos_reconocidos_netos","recaudacion_neta"
"023","Universidad Autónoma de Madrid","2022","6","Enajenación de inversiones reales","68","Reintegros por operación de Capital","681","Del presupuesto corriente","681.00","(no descrito)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","4","Transferencias Corrientes","45","De Comunidades Autónomas","450","Transferencias corrientes de la C.M.","450.10","(no descrito)","(no informado)","(no informado)","03","CONSEJO SOCIAL","03.60","Vicegerencia de Economía y Recursos Materiales.","03.60.00","Vicegerencia de Economía y Recursos Materiales.","(no informado)","(no informado)","(no informado)","(no informado)","01012022","168867","0","168867","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","324","Derecho de alojamiento, restauración y residencia","324.03","(no descrito)","(no informado)","(no informado)","04","VICERRECTORADO DE CAMPUS E INFRAESTRUCTURAS","04.60","VICEGERENCIA DE ECONOMÍA Y RRMM","04.60.00","VICEGERENCIA DE ECONOMÍA Y RECURSOS MATERIALES","(no informado)","(no informado)","(no informado)","(no informado)","01012022","28000","0","28000","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","06","ADJUNTO A LA RECTORA PARA CALIDAD DE LOS ESTUDIOS E INNOVACIÓN DOCENTE","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","01012022","40000","0","40000","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","(no descrito)","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.00","T?tulos Propios","07.30.TP.00.02","Canon Títulos Propios","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","(no descrito)","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.04","TÍTULOS PROPIOS FACULTAD DE MEDICINA","07.30.TP.04.29","Máster en Diagnóstico y tratamiento de pacientes con tumores torácicos","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","(no descrito)","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.05","Títulos Propios Facultad de Derecho","07.30.TP.05.05","Máster en Contratación Pública Local","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","(no descrito)","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.05","Títulos Propios Facultad de Derecho","07.30.TP.05.12","Máster en Empleo Público Local","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","(no descrito)","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.TP","(SIN DESCRIPCIÓN)","07.30.TP.05","Títulos Propios Facultad de Derecho","07.30.TP.05.15","Experto en Corporate Governance y Operaciones de M&A","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","(no descrito)","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(no informado)","(no informado)","(no informado)","01012022","185838","0","185838","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","31","Precios Públicos","311","Servicios académicos por enseñanzas propias","311.00","(no descrito)","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.01","Viceg. Estudios y Ext. Universitaria. Financiación afectada","07.30.01.15","Fundacion UAM Gestión Delegada Títulos Propios","(no informado)","(no informado)","01012022","4290381","0","4290381","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.99","(no descrito)","(no informado)","(no informado)","08","VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD","08.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","08.30.00","Vicegerencia de Estudios y Extensión Universitaria","(no informado)","(no informado)","(no informado)","(no informado)","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","4","Transferencias Corrientes","40","De la Administración del Estado","401","De otros Departamentos Ministeriales","(no informado)","(no informado)","(no informado)","(no informado)","08","VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD","08.70","(SIN DESCRIPCIÓN)","08.70.01","Responsable de Responsabilidad Social","08.70.01.01","Programa ACNUR-UAM Emprendimiento 2021","(no informado)","(no informado)","01012022","22602","0","22602","0","0"
"023","Universidad Autónoma de Madrid","2022","4","Transferencias Corrientes","41","De Organismos Autonómos Administrativos","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","08","VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD","08.70","(SIN DESCRIPCIÓN)","08.70.01","Responsable de Responsabilidad Social","08.70.01.01","Programa ACNUR-UAM Emprendimiento 2021","(no informado)","(no informado)","01012022","26680","0","26680","0","0"
"023","Universidad Autónoma de Madrid","2022","4","Transferencias Corrientes","45","De Comunidades Autónomas","450","Transferencias corrientes de la C.M.","(no informado)","(no informado)","(no informado)","(no informado)","08","VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD","08.70","(SIN DESCRIPCIÓN)","08.70.01","Responsable de Responsabilidad Social","08.70.01.01","Programa ACNUR-UAM Emprendimiento 2021","(no informado)","(no informado)","01012022","175000","0","175000","0","0"
"023","Universidad Autónoma de Madrid","2022","4","Transferencias Corrientes","49","Del  Exterior","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","08","VICERRECTORADO DE COMPROMISO SOCIAL Y SOSTENIBILIDAD","08.70","(SIN DESCRIPCIÓN)","08.70.01","Responsable de Responsabilidad Social","08.70.01.01","Programa ACNUR-UAM Emprendimiento 2021","(no informado)","(no informado)","01012022","620000","0","620000","0","0"
"023","Universidad Autónoma de Madrid","2022","4","Transferencias Corrientes","47","De Empresas Privadas","471","Transf. corrientes de Empresas Privadas","471.18","(no descrito)","(no informado)","(no informado)","09","VICERRECTORADO DE TRANSFERENCIA, INNOVACIÓN Y CULTURA","09.60","(SIN DESCRIPCIÓN)","09.60.00","Vicegerencia de Economía y Recursos Materiales","(no informado)","(no informado)","(no informado)","(no informado)","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.04","(no descrito)","(no informado)","(no informado)","09","VICERRECTORADO DE TRANSFERENCIA, INNOVACIÓN Y CULTURA","09.60","(SIN DESCRIPCIÓN)","09.60.01","Vicegerencia de Economía y Recursos Materiales Financiación Afectada","(no informado)","(no informado)","(no informado)","(no informado)","01012022","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2022","4","Transferencias Corrientes","48","De Familias e Inst. sin fines de lucro","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","09","VICERRECTORADO DE TRANSFERENCIA, INNOVACIÓN Y CULTURA","09.62","VICEG. ECONOMÍA Y RR. MATERIALES. TECNOLOGÍAS INFORMACIÓN","09.62.01","Viceg. Economía. Tecnologías de la Información. Financiación Afectada.","(no informado)","(no informado)","(no informado)","(no informado)","01012022","85265","0","85265","0","0"
"023","Universidad Autónoma de Madrid","2022","8","Activos financieros","87","Remanente de Tesorería","870","Remanente de Tesorería","870.03","(no descrito)","(no informado)","(no informado)","09","VICERRECTORADO DE TRANSFERENCIA, INNOVACIÓN Y CULTURA","09.62","VICEG. ECONOMÍA Y RR. MATERIALES. TECNOLOGÍAS INFORMACIÓN","09.62.01","Viceg. Economía. Tecnologías de la Información. Financiación Afectada.","(no informado)","(no informado)","(no informado)","(no informado)","01012022","223850","0","223850","0","0"
"023","Universidad Autónoma de Madrid","2022","8","Activos financieros","87","Remanente de Tesorería","870","Remanente de Tesorería","870.03","(no descrito)","(no informado)","(no informado)","09","VICERRECTORADO DE TRANSFERENCIA, INNOVACIÓN Y CULTURA","09.62","VICEG. ECONOMÍA Y RR. MATERIALES. TECNOLOGÍAS INFORMACIÓN","09.62.01","Viceg. Economía. Tecnologías de la Información. Financiación Afectada.","09.62.01.01","Plan para la modernización y digitalización del sistema universitario español (UniDigital)","(no informado)","(no informado)","01012022","1554669","0","1554669","0","0"
