"anio","fecha_inicio_solicitudes","fecha_fin_solicitudes","cod_universidad","des_universidad","cod_convocatoria","des_convocatoria","nombre_convocatoria","cod_univ_aplicacion","des_univ_aplicacion","cod_ambito_aplicacion","des_ambito_aplicacion","cod_agente_financiador","des_agente_financiador","cod_agente_cofinanciador","des_agente_cofinanciador","ind_efectos_multianuales","num_periodos","cod_categoria","des_categoria","cod_financia_matricula","des_financia_matricula","ind_modalidad_compensatoria","cod_modalidad_residencia","des_modalidad_residencia","cod_modalidad_mov_interna","des_modalidad_mov_interna","cod_modalidad_mov_internacional","des_modalidad_mov_internacional","cod_modalidad_gastos_despl","des_modalidad_gastos_despl","cod_modalidad_material","des_modalidad_material","cod_modalidad_comedor","des_modalidad_comedor","cod_modalidad_contraprestacion_serv","des_modalidad_contraprestacion_serv","cod_modalidad_idiomas","des_modalidad_idiomas","ind_modalidad_discapacidad","ind_modalidad_seguros","ind_otras_modalidades","cod_nivel_estudios","des_nivel_estudios","ind_req_rendimiento","ind_req_creditos","ind_req_renta","ind_req_patrimonio","ind_req_discapacidad","ind_req_genero","ind_req_edad","ind_req_residencia_curso","ind_req_residencia_habitual","ind_req_vinc_territorial","cod_req_nacionalidad","des_req_nacionalidad","ind_req_presencialidad","ind_req_credencial_becario","ind_req_desempleado","ind_complementaria","ind_incompatible","presupuesto_inicial","presupuesto_ejecutado","num_plazas"
"2023","20230717","20230927","023","Universidad Autónoma de Madrid","131023302","Becas de ayuda del Centro Universitario LA SALLE","Becas de ayuda del Centro Universitario de la Salle. NBO","2","Privadas","5","Estudiantes en la universidad convocante","4","Universidad","4","Universidad","NO",,"2","Colaboración","1","Sí, de carácter pecuniario","SÍ","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","NO","NO",,"36900",
"2018","20180409","20180423","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2627940,4","3115036,74","32"
"2019","20190513","20190527","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2627940,4","2435280,37","33"
"2020","20200622","20200706","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","3005430,12","1968048,43","33"
"2021","20210621","20210705","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","3039901,92","1324072,97","33"
"2022","20220901","20220920","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2033530,97","360302,15","21"
"2023","20230901","20230920","023","Universidad Autónoma de Madrid","131023304","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador","Convocatoria del Programa Propio de Ayudas para Formación de Personal Investigador. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","SÍ","4","6","Formación de investigadores e investigadoras","3","Sí, mixto","NO","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","NO","NO","NO","3","Doctorado","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","NO","SÍ","2301992,3","0","21"
"2023","20221013","20221026","023","Universidad Autónoma de Madrid","131023306","Convocatoria de becas UAM-GRUPO SANTANDER para realizar estudios en la  UAM","Convocatoria de becas UAM-Banco Santander para realizar estudios en la UAM. NBO","1","Públicas","4","Estudiantes extranjeros","6","Otro organismo privado","0","No hay","NO",,"1","Becas y ayudas","0","No","NO","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","0","No","0","No","NO","SÍ","NO","4","Grado (incluyendo primer y segundo ciclo) y Máster","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","2","Sí, extranjera","NO","NO","NO","NO","NO",,"321990,94","61"
"2022","20230315","20231218","023","Universidad Autónoma de Madrid","131023307","Convocatoria de becas UAM-GRUPO SANTANDER para realizar estudios en América latina","Convocatoria de becas UAM-Banco Santander para realizar estudios en América Latina. NBO","3","Ambas","5","Estudiantes en la universidad convocante","6","Otro organismo privado","0","No hay","NO",,"1","Becas y ayudas","0","No","NO","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","1","Sí, de carácter pecuniario","0","No","1","Sí, de carácter pecuniario","0","No","0","No","NO","SÍ","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","NO","NO",,"164910","42"
"2023","20230701","20230719","023","Universidad Autónoma de Madrid","131023308","Beca de AULA","Becas de Aula. NBO","1","Públicas","5","Estudiantes en la universidad convocante","6","Otro organismo privado","0","No hay","NO",,"2","Colaboración","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","SÍ","NO","1600","6400","8"
"2023","20231026","20231213","023","Universidad Autónoma de Madrid","131023314","AYUDAS DE LA UAM PARA PRÁCTICAS EXTERNAS CURRICULARES EN COOPERACIÓN AL DESARROLLO","Ayudas de la UAM para prácticas curriculares en cooperación al desarrollo. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO",,"1","Becas y ayudas","0","No","NO","0","No","0","No","1","Sí, de carácter pecuniario","0","No","0","No","0","No","0","No","0","No","NO","SÍ","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","SÍ","NO","NO","SÍ","NO","26000","21612","20"
"2023","20230601","20230916","023","Universidad Autónoma de Madrid","131023313","Programa de ayudas de estudios a estudiantes refugiados o solicitantes de asilo","Convocatoria de ayudas de estudios a estudiantes refugiados o solicitantes de asilo. NBO","1","Públicas","4","Estudiantes extranjeros","4","Universidad","0","No hay","NO",,"1","Becas y ayudas","1","Sí, de carácter pecuniario","SÍ","0","No","0","No","0","No","0","No","0","No","0","No","0","No","2","Sí, en especie","NO","NO","SÍ","6","Grado, Máster y Doctorado","SÍ","SÍ","SÍ","NO","NO","NO","NO","SÍ","SÍ","SÍ","0","No","SÍ","NO","NO","NO","NO",,,
"2023","20230901","20230913","023","Universidad Autónoma de Madrid","131023311","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado
","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","8100","7574,57","14"
"2024","20231215","20240108","023","Universidad Autónoma de Madrid","131023311","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado
","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Grado. NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","1","Grado (incluyendo primer y segundo ciclo)","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","12150","8592,36","10"
"2023","20230901","20230913","023","Universidad Autónoma de Madrid","131023312","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado
","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado.  NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","2","Máster","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","8100","5315,88","4"
"2024","20231215","20240108","023","Universidad Autónoma de Madrid","131023312","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado
","Programa de Prácticas Curriculares con Ayuda al Estudio OPE Posgrado.  NBO","1","Públicas","5","Estudiantes en la universidad convocante","4","Universidad","0","No hay","NO","1","1","Becas y ayudas","0","No","NO","0","No","0","No","0","No","0","No","0","No","0","No","1","Sí, de carácter pecuniario","0","No","NO","NO","NO","2","Máster","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","0","No","NO","NO","NO","SÍ","SÍ","12150","3001,57","6"
