"cod_universidad","des_universidad","anio","cod_capitulo","des_capitulo","cod_articulo","des_articulo","cod_concepto","des_concepto","cod_subconcepto","des_subconcepto","cod_partida","des_partida","cod_seccion","des_seccion","cod_servicio","des_servicio","cod_unidad_de_coste","des_unidad_de_coste","cod_organica_libre_1","des_organica_libre_1","cod_organica_libre_2","des_organica_libre_2","fecha_referencia","credito_inicial","modificaciones","credito_total","derechos_reconocidos_netos","recaudacion_neta"
"023","Universidad Autónoma de Madrid","2023","4","Transferencias Corrientes","45","De Comunidades Autónomas","450","Transferencias corrientes de la C.M.","450.10","Funcionamiento Consejo Social","(no informado)","(no informado)","03","CONSEJO SOCIAL","03.60","Vicegerencia de Economía y Recursos Materiales.","03.60.00","Vicegerencia de Economía y Recursos Materiales.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","168867","0","168867","168867","168867"
"023","Universidad Autónoma de Madrid","2023","7","Transferencias de Capital","75","De Comunidades Autónomas","750","Transfer. Capital de Comunidades","750.01","De la C.M. para Investigación","(no informado)","(no informado)","03","CONSEJO SOCIAL","03.60","Vicegerencia de Economía y Recursos Materiales.","03.60.00","Vicegerencia de Economía y Recursos Materiales.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","0","0","0","-23500","-23500"
"023","Universidad Autónoma de Madrid","2023","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","324","Derecho de alojamiento, restauración y residencia","324.03","Ingresos ""La Cristalera""","(no informado)","(no informado)","04","VICERRECTORADO DE CAMPUS E INFRAESTRUCTURAS","04.60","VICEGERENCIA DE ECONOMÍA Y RRMM","04.60.00","VICEGERENCIA DE ECONOMÍA Y RECURSOS MATERIALES","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","96000","0","96000","372567,85","372567,85"
"023","Universidad Autónoma de Madrid","2023","3","Tasas, Precios Públicos y otros ingresos","39","Otros ingresos","399","Ingresos diversos","399.99","Otros ingresos diversos","(no informado)","(no informado)","04","VICERRECTORADO DE CAMPUS E INFRAESTRUCTURAS","04.60","VICEGERENCIA DE ECONOMÍA Y RRMM","04.60.00","VICEGERENCIA DE ECONOMÍA Y RECURSOS MATERIALES","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","0","8264,46","8264,46","8647,46","8647,46"
"023","Universidad Autónoma de Madrid","2023","4","Transferencias Corrientes","46","De Corporaciones Locales","460","De Ayuntamientos","460.00","Del  Ayuntamiento de Madrid","(no informado)","(no informado)","04","VICERRECTORADO DE CAMPUS E INFRAESTRUCTURAS","04.60","VICEGERENCIA DE ECONOMÍA Y RRMM","04.60.00","VICEGERENCIA DE ECONOMÍA Y RECURSOS MATERIALES","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","21000","0","21000","17479","17479"
"023","Universidad Autónoma de Madrid","2023","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","06","ADJUNTO A LA RECTORA PARA CALIDAD DE LOS ESTUDIOS E INNOVACIÓN DOCENTE","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","0","0","0","0","0"
"023","Universidad Autónoma de Madrid","2023","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.07","Servicios prestados unidades apoyo a la investig","(no informado)","(no informado)","06","ADJUNTO A LA RECTORA PARA CALIDAD DE LOS ESTUDIOS E INNOVACIÓN DOCENTE","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","0","0","0","1100","1100"
"023","Universidad Autónoma de Madrid","2023","3","Tasas, Precios Públicos y otros ingresos","32","Otros ingresos procedentes de prestaciones de servicios","329","De otros servicios","329.99","Prestaciones de otros servicios","(no informado)","(no informado)","06","ADJUNTO A LA RECTORA PARA CALIDAD DE LOS ESTUDIOS E INNOVACIÓN DOCENTE","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","0","0","0","1762,5","1762,5"
"023","Universidad Autónoma de Madrid","2023","3","Tasas, Precios Públicos y otros ingresos","39","Otros ingresos","399","Ingresos diversos","399.99","Otros ingresos diversos","(no informado)","(no informado)","06","ADJUNTO A LA RECTORA PARA CALIDAD DE LOS ESTUDIOS E INNOVACIÓN DOCENTE","06.30","VICEGERENCIA DE ESTUDIOS Y EXTENSIÓN UNIVERSITARIA","06.30.00","Vicegerencia de Estudios y Extensión Universitaria.","(no informado)","(NO INFORMADO)","(no informado)","(NO INFORMADO)","31122023","30000","0","30000","26478,22","26478,22"
"023","Universidad Autónoma de Madrid","2023","3","Tasas, Precios Públicos y otros ingresos","38","Reintegros de operaciones corrientes","381","De ejercicios corrientes","381.00","Reintegros ejercicio corriente","(no informado)","(no informado)","07","VICERRECTORADO DE ESTUDIOS DE POSGRADO Y FORMACIÓN CONTINUA","07.30","VICEGERENCIA DE ESTUDIOS Y EXTENSION UNIVERSITARIA","07.30.MU","Masteres Universitarios","07.30.MU.01","MASTERES UNIVERSITARIOS FACULTAD DE CIENCIAS","(no informado)","(NO INFORMADO)","31122023","0","0","0","0","0"
