"identificador","link_licitacion","fecha_actualizacion","vigente_o_anulada_o_archivada","primera_publicacion","estado","numero_de_expediente","objeto_del_contrato","identificador_unico_ted","valor_estimado_del_contrato","presupuesto_base_sin_impuestos","presupuesto_base_con_impuestos","CPVs","numero_CPVs","cpv_1","des_cpv_1","cpv_2","des_cpv_2","cpv_3","des_cpv_3","cpv_4","des_cpv_4","cpv_5","des_cpv_5","cpv_6","des_cpv_6","cpv_7","des_cpv_7","cpv_8","des_cpv_8","cpv_9","des_cpv_9","cpv_10","des_cpv_10","cpv_11","des_cpv_11","cpv_12","des_cpv_12","cpv_13","des_cpv_13","cpv_14","des_cpv_14","cpv_15","des_cpv_15","cpv_16","des_cpv_16","cpv_17","des_cpv_17","cpv_18","des_cpv_18","cpv_19","des_cpv_19","cpv_20","des_cpv_20","tipo_de_contrato","contrato_mixto","lugar_de_ejecucion","des_lugar_de_ejecucion","lat_lugar_de_ejecucion","lon_lugar_de_ejecucion","organo_de_contratacion","id_oc_en_placsp","nif_oc","dir3","enlace_al_perfil_de_contratante_del_oc","tipo_de_administracion","codigo_postal","tipo_de_procedimiento","sistema_de_contratacion","tramitacion","forma_de_presentacion_de_la_oferta","fecha_de_presentacion_de_ofertas","fecha_de_presentacion_de_solicitudes_de_participacion","directiva_de_aplicacion","contrato_sara_o_umbral","financiacion_europea_y_fuente","descripcion_de_la_financiacion_europea","subasta_electronica","subcontratacion_permitida","subcontratacion_permitida_porcentaje","lote","objeto_licitacion_o_lote","valor_estimado_licitacion_o_lote","presupuesto_base_con_impuestos_licitacion_o_lote","presupuesto_base_sin_impuestos_licitacion_o_lote","CPVs_lote","numero_CPVs_lote","cpv_lote_1","des_cpv_lote_1","cpv_lote_2","des_cpv_lote_2","cpv_lote_3","des_cpv_lote_3","cpv_lote_4","des_cpv_lote_4","cpv_lote_5","des_cpv_lote_5","cpv_lote_6","des_cpv_lote_6","cpv_lote_7","des_cpv_lote_7","cpv_lote_8","des_cpv_lote_8","cpv_lote_9","des_cpv_lote_9","cpv_lote_10","des_cpv_lote_10","cpv_lote_11","des_cpv_lote_11","cpv_lote_12","des_cpv_lote_12","cpv_lote_13","des_cpv_lote_13","cpv_lote_14","des_cpv_lote_14","cpv_lote_15","des_cpv_lote_15","cpv_lote_16","des_cpv_lote_16","cpv_lote_17","des_cpv_lote_17","cpv_lote_18","des_cpv_lote_18","cpv_lote_19","des_cpv_lote_19","cpv_lote_20","des_cpv_lote_20","lugar_ejecucion_licitacion_o_lote","des_lugar_de_ejecucion_licitacion_o_lote","lat_lugar_de_ejecucion_licitacion_o_lote","lon_lugar_de_ejecucion_licitacion_o_lote","resultado_licitacion_o_lote","fecha_del_acuerdo_licitacion_o_lote","numero_de_ofertas_recibidas_por_licitacion_o_lote","precio_de_la_oferta_mas_baja_por_licitacion_o_lote","precio_de_la_oferta_mas_alta_por_licitacion_o_lote","ofertas_excluidas_por_anormalmente_bajas_por_licitacion_o_lote","numero_del_contrato_licitacion_o_lote","fecha_formalizacion_del_contrato_licitacion_o_lote","fecha_entrada_en_vigor_del_contrato_de_licitacion_o_lote","adjudicatario_licitacion_o_lote","tipo_de_identificador_de_adjudicatario_por_licitacion_o_lote","identificador_adjudicatario_de_la_licitacion_o_lote","el_adjudicatario_es_o_no_pyme_de_la_licitacion_o_lote","importe_adjudicacion_sin_impuestos_licitacion_o_lote","importe_adjudicacion_con_impuestos_licitacion_o_lote"
"4120539","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=nmdt7fwXVBmiEJrVRqloyA%3D%3D",2019-12-27 14:22:09,"VIGENTE",2019-10-09,"Resuelta","A-27/19","Producción de contenido multimedia de calidad (vídeo/fotografía) para la Universidad Autónoma de Madrid, con el fin de ilustrar todo tipo de publicaciones digitales e impresas (página web, redes sociales, folletos, cartelería, etc.)",,"64000","32000","38720","79340000;","1","79340000","Servicios de publicidad y de marketing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2019-10-24 15:00:00,,,,,,,,,"Sin lotes","Producción de contenido multimedia de calidad (vídeo/fotografía) para la Universidad Autónoma de Madrid, con el fin de ilustrar todo tipo de publicaciones digitales e impresas (página web, redes sociales, folletos, cartelería, etc.)","64000","38720","32000","79340000;","1","79340000","Servicios de publicidad y de marketing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2019-12-19,"4",,,,"A-27/19",2020-01-01,,"HeyAvenue Comunicación S.L.","NIF","B85873016",,"22400","27104"
"4460200","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2BdzbGSNnCPoBPRBxZ4nJ%2Fg%3D%3D",2019-12-24 09:25:45,"VIGENTE",2019-12-20,"Resuelta","A-12/20","Servicio de mantenimiento y soporte técnico, incluyendo rediseño de algunos componentes, del software que forma el sistema de correo electrónico de la Universidad Autónoma de Madrid",,"243000","162000","196020","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2020-01-20 15:00:00,,"2014/24/EU",,,,,,,"Sin lotes","Servicio de mantenimiento y soporte técnico, incluyendo rediseño de algunos componentes, del software que forma el sistema de correo electrónico de la Universidad Autónoma de Madrid","243000","196020","162000","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2020-02-07,"1",,,,"A-12/20",2020-03-03,,"GMV Soluciones Globales Internet, S.A.U.","NIF","A83057034",,"152280","184258,8"
"4443596","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=W3tcfXn2aUMSugstABGr5A%3D%3D",2019-12-20 14:27:29,"VIGENTE",2019-12-20,"Resuelta","S-8/20","Arrendamiento del paquete informático que genera documentos de formato portable (PDF), cumpliendo con la normativa de accesibilidad, para su uso por la comunidad universitaria de la Universidad Autónoma de Madrid",,"67890","67890","82146,9","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2020-01-09 15:00:00,,,,,,,,,"Sin lotes","Arrendamiento del paquete informático que genera documentos de formato portable (PDF), cumpliendo con la normativa de accesibilidad, para su uso por la comunidad universitaria de la Universidad Autónoma de Madrid","67890","82146,9","67890","48000000;","1","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2020-01-23,"1",,,,"S-8/20",2020-01-30,2020-02-01,"Software Científico S.L.","NIF","B81258220",,"66552,9","80529,01"
"4443606","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=KJhOhDzNmMbnSoTX3z%2F7wA%3D%3D",2019-12-20 14:19:10,"VIGENTE",2019-12-20,"Resuelta","S-7/20","Suministro y garantía de cien (100) monitores destinados a la docencia en aulas y puestos de trabajo en la Universidad Autónoma de Madrid",,"9275","9275","11222,75","30200000;","1","30200000","Equipo y material informático",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2020-01-09 15:00:00,,,,,,,,,"Sin lotes","Suministro y garantía de cien (100) monitores destinados a la docencia en aulas y puestos de trabajo en la Universidad Autónoma de Madrid","9275","11222,75","9275","30200000;","1","30200000","Equipo y material informático",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2020-02-07,"5",,,,"S-7/20",2020-02-14,2020-02-17,"DISINFOR,S.L.","NIF","B78949799",,"5881","7116,01"
"4180355","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=L%2Fpz1C5qtdgSugstABGr5A%3D%3D",2019-12-17 11:15:47,"VIGENTE",2019-10-22,"Resuelta","A-7/20","Servicio para el mantenimiento y desarrollo de aplicativos de carácter institucional, no docente, actualmente en producción en la Universidad Autónoma de Madrid",,"852231,4","426115,7","515600","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2019-11-20 15:00:00,,"2014/24/EU",,,,,,,"1","Mantenimiento de los aplicativos UNIVERSITAS XXI Económico, Recursos Humanos, Investigación, Integrador, Elementos tecnológicos subyacnetes y Servicios Gestionados.",,"435600","360000","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2019-12-16,"1",,,,"A-7/20",2020-01-14,,"UNIVERSITAS XXI, SOLUCIONES Y TECNOLOGÍA PARA LA UNIVERSIDAD","NIF","A80897770",,"357130,6","432128,03"
"4180355","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=L%2Fpz1C5qtdgSugstABGr5A%3D%3D",2019-12-17 11:15:47,"VIGENTE",2019-10-22,"Resuelta","A-7/20","Servicio para el mantenimiento y desarrollo de aplicativos de carácter institucional, no docente, actualmente en producción en la Universidad Autónoma de Madrid",,"852231,4","426115,7","515600","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2019-11-20 15:00:00,,"2014/24/EU",,,,,,,"2","Desarrollo evolutivo de aplicaciones “UNIVERSITAS XXI”",,"40000","33057,85","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2019-12-16,"1",,,,"A-7/20",2020-01-14,,"UNIVERSITAS XXI, SOLUCIONES Y TECNOLOGÍA PARA LA UNIVERSIDAD","NIF","A80897770",,"33057,85","40000"
"4180355","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=L%2Fpz1C5qtdgSugstABGr5A%3D%3D",2019-12-17 11:15:47,"VIGENTE",2019-10-22,"Resuelta","A-7/20","Servicio para el mantenimiento y desarrollo de aplicativos de carácter institucional, no docente, actualmente en producción en la Universidad Autónoma de Madrid",,"852231,4","426115,7","515600","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2019-11-20 15:00:00,,"2014/24/EU",,,,,,,"3","Desarrollo evolutivo de aplicaciones analíticas",,"40000","33057,85","72267100;","1","72267100","Mantenimiento de software de tecnología de la información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2019-12-16,"1",,,,"A-7/20",2020-01-14,,"Stratebi Business Solutions","NIF","B84467554",,"24793","29999,53"
"4204081","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=od%2BrGZUV%2BXKmq21uxhbaVQ%3D%3D",2019-12-16 13:18:31,"VIGENTE",2019-10-29,"Resuelta","A-10/20","Servicio de retirada, transporte y eliminación de residuos químicos, tóxicos y peligrosos y biosanitarios especiales de los Campus de Cantoblanco y Medicina de la Universidad Autónoma de Madrid",,"169090,92","84545,46","93000","90520000;","1","90520000","Servicios de residuos radiactivos, tóxicos, médicos y peligrosos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2019-11-13 15:00:00,,,,,,,,,"1","Contratación, por precio unitario, del servicio de retirada, transporte y eliminación de residuos químicos, tóxicos y peligrosos de los Campus de Cantoblanco y Medicina de la Universidad Autónoma de Madrid.",,"64200","58363,64","90520000;","1","90520000","Servicios de residuos radiactivos, tóxicos, médicos y peligrosos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2019-12-10,"3",,,,"A-10/20",2020-01-09,,"LOGISTICA AMBIENTAL, S.L.","NIF","B19195304",,"53105,45","58416"
"4204081","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=od%2BrGZUV%2BXKmq21uxhbaVQ%3D%3D",2019-12-16 13:18:31,"VIGENTE",2019-10-29,"Resuelta","A-10/20","Servicio de retirada, transporte y eliminación de residuos químicos, tóxicos y peligrosos y biosanitarios especiales de los Campus de Cantoblanco y Medicina de la Universidad Autónoma de Madrid",,"169090,92","84545,46","93000","90520000;","1","90520000","Servicios de residuos radiactivos, tóxicos, médicos y peligrosos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2019-11-13 15:00:00,,,,,,,,,"2","Contratación, por precio unitario, del servicio de retirada, transporte y eliminación de residuos biosanitarios especiales de los Campus de Cantoblanco y Medicina de la Universidad Autónoma de Madrid",,"28800","26181,82","90520000;","1","90520000","Servicios de residuos radiactivos, tóxicos, médicos y peligrosos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2019-12-10,"4",,,,"A-10/20",2020-01-09,,"HIGIÉNICA DE BIOSANITARIOS SL","NIF","B87068961",,"15680","17248"
"4180448","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FU9X00t7rPaiEJrVRqloyA%3D%3D",2019-12-16 13:14:00,"VIGENTE",2019-10-24,"Resuelta","A-8/20","Servicio de mantenimiento de las instalaciones de protección contra incendios de los edificios y zonas dependientes de la Universidad Autónoma de Madrid",,"119000","59500","71995","50413200;","1","50413200","Servicios de reparación y mantenimiento de instalaciones contra incendios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid",,"Q2818013A","U02300001",,"Organismo de Derecho público","28049","Abierto",,"Ordinaria","Electrónica",2019-11-08 15:00:00,,,,,,,,,"Sin lotes","Servicio de mantenimiento de las instalaciones de protección contra incendios de los edificios y zonas dependientes de la Universidad Autónoma de Madrid","119000","71995","59500","50413200;","1","50413200","Servicios de reparación y mantenimiento de instalaciones contra incendios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2019-12-11,"2",,,,"A-8/20",2020-01-09,,"IMPROSS S.A","NIF","A28727444",,"34590","41853,9"
