"identificador","link_licitacion","fecha_actualizacion","vigente_o_anulada_o_archivada","primera_publicacion","estado","numero_de_expediente","objeto_del_contrato","identificador_unico_ted","valor_estimado_del_contrato","presupuesto_base_sin_impuestos","presupuesto_base_con_impuestos","CPVs","numero_CPVs","cpv_1","des_cpv_1","cpv_2","des_cpv_2","cpv_3","des_cpv_3","cpv_4","des_cpv_4","cpv_5","des_cpv_5","cpv_6","des_cpv_6","cpv_7","des_cpv_7","cpv_8","des_cpv_8","cpv_9","des_cpv_9","cpv_10","des_cpv_10","cpv_11","des_cpv_11","cpv_12","des_cpv_12","cpv_13","des_cpv_13","cpv_14","des_cpv_14","cpv_15","des_cpv_15","cpv_16","des_cpv_16","cpv_17","des_cpv_17","cpv_18","des_cpv_18","cpv_19","des_cpv_19","cpv_20","des_cpv_20","tipo_de_contrato","contrato_mixto","lugar_de_ejecucion","des_lugar_de_ejecucion","lat_lugar_de_ejecucion","lon_lugar_de_ejecucion","organo_de_contratacion","id_oc_en_placsp","nif_oc","dir3","enlace_al_perfil_de_contratante_del_oc","tipo_de_administracion","codigo_postal","tipo_de_procedimiento","sistema_de_contratacion","tramitacion","forma_de_presentacion_de_la_oferta","fecha_de_presentacion_de_ofertas","fecha_de_presentacion_de_solicitudes_de_participacion","directiva_de_aplicacion","contrato_sara_o_umbral","financiacion_europea_y_fuente","descripcion_de_la_financiacion_europea","subasta_electronica","subcontratacion_permitida","subcontratacion_permitida_porcentaje","lote","objeto_licitacion_o_lote","valor_estimado_licitacion_o_lote","presupuesto_base_con_impuestos_licitacion_o_lote","presupuesto_base_sin_impuestos_licitacion_o_lote","CPVs_lote","numero_CPVs_lote","cpv_lote_1","des_cpv_lote_1","cpv_lote_2","des_cpv_lote_2","cpv_lote_3","des_cpv_lote_3","cpv_lote_4","des_cpv_lote_4","cpv_lote_5","des_cpv_lote_5","cpv_lote_6","des_cpv_lote_6","cpv_lote_7","des_cpv_lote_7","cpv_lote_8","des_cpv_lote_8","cpv_lote_9","des_cpv_lote_9","cpv_lote_10","des_cpv_lote_10","cpv_lote_11","des_cpv_lote_11","cpv_lote_12","des_cpv_lote_12","cpv_lote_13","des_cpv_lote_13","cpv_lote_14","des_cpv_lote_14","cpv_lote_15","des_cpv_lote_15","cpv_lote_16","des_cpv_lote_16","cpv_lote_17","des_cpv_lote_17","cpv_lote_18","des_cpv_lote_18","cpv_lote_19","des_cpv_lote_19","cpv_lote_20","des_cpv_lote_20","lugar_ejecucion_licitacion_o_lote","des_lugar_de_ejecucion_licitacion_o_lote","lat_lugar_de_ejecucion_licitacion_o_lote","lon_lugar_de_ejecucion_licitacion_o_lote","resultado_licitacion_o_lote","fecha_del_acuerdo_licitacion_o_lote","numero_de_ofertas_recibidas_por_licitacion_o_lote","precio_de_la_oferta_mas_baja_por_licitacion_o_lote","precio_de_la_oferta_mas_alta_por_licitacion_o_lote","ofertas_excluidas_por_anormalmente_bajas_por_licitacion_o_lote","numero_del_contrato_licitacion_o_lote","fecha_formalizacion_del_contrato_licitacion_o_lote","fecha_entrada_en_vigor_del_contrato_de_licitacion_o_lote","adjudicatario_licitacion_o_lote","tipo_de_identificador_de_adjudicatario_por_licitacion_o_lote","identificador_adjudicatario_de_la_licitacion_o_lote","el_adjudicatario_es_o_no_pyme_de_la_licitacion_o_lote","importe_adjudicacion_sin_impuestos_licitacion_o_lote","importe_adjudicacion_con_impuestos_licitacion_o_lote"
"13439343","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=MxjRdBqToHIXhk1FZxEyvw%3D%3D",2023-12-31 10:25:24,"VIGENTE",2023-09-29,"Resuelta","A-9/24","Mantenimiento de las instalaciones de protección contra incendios de los edificios y zonas dependientes de la Universidad Autónoma de Madrid",,"249691,28","124845,64","151063,22","50413200;","1","50413200","Servicios de reparación y mantenimiento de instalaciones contra incendios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios","No","ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2023-10-27 23:59:00,,"2014/24/EU","Sí","No",,"No","La empresa subcontratada cumplirá con la habilitación, solvencia económica y técnica correspondientes a los trabajos que le sean subcontratados.",,"Sin lotes","Mantenimiento de las instalaciones de protección contra incendios de los edificios y zonas dependientes de la Universidad Autónoma de Madrid","249691,28","151063,22","124845,64","50413200;","1","50413200","Servicios de reparación y mantenimiento de instalaciones contra incendios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-11-28,"6","81332,25","115482,28",,"A-9/24",2023-12-28,,"FERMALUX S.L.","NIF","B78800380",TRUE,"81332,25","98412,02"
"13515066","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=q2rz2koSgFBVYjgxA4nMUw%3D%3D",2023-12-30 16:10:38,"VIGENTE",2023-10-13,"Resuelta","S-4/24","Contratación del acuerdo denominado “Enterprise License Agreement (ELA)” por el fabricante del software de virtualización VMware y de Servicios PSO Credits de VMware. Utilizado en la plataforma de virtualización de sistemas centrales de la Universidad Autónoma de Madrid.",,"367000","367000","444070","72267100;48000000;","2","72267100","Mantenimiento de software de tecnología de la información","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros","Sí","ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2023-11-13 23:59:00,,"2014/24/EU","Sí","No",,"No",,,"Sin lotes","Contratación del acuerdo denominado “Enterprise License Agreement (ELA)” por el fabricante del software de virtualización VMware y de Servicios PSO Credits de VMware. Utilizado en la plataforma de virtualización de sistemas centrales de la Universidad Autónoma de Madrid.","367000","444070","367000","72267100;48000000;","2","72267100","Mantenimiento de software de tecnología de la información","48000000","Paquetes de software y sistemas de información",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-11-29,"1","360000","360000",,"S-4/24",2023-12-27,,"Internacional Periféricos y Memorias España, S.L.U.","NIF","B62758602",FALSE,"360000","435600"
"13439348","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=S2y3KmAcZJ83vLk2DU2Ddg%3D%3D",2023-12-27 09:00:00,"VIGENTE",2023-09-29,"Resuelta","A-8/24","Servicio de Mantenimiento y reparación de los aparatos elevadores de los edificios dependientes de la Universidad Autónoma de Madrid",,"359484","179742","217487,82","50750000;","1","50750000","Servicios de mantenimiento de ascensores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios","No","ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2023-10-27 23:59:00,,"2014/24/EU","Sí","No",,"No","Sí. La empresa subcontratada cumplirá con la solvencia económica y técnica correspondiente a los trabajos que le sean subcontratados.",,"Sin lotes","Servicio de Mantenimiento y reparación de los aparatos elevadores de los edificios dependientes de la Universidad Autónoma de Madrid","359484","217487,82","179742","50750000;","1","50750000","Servicios de mantenimiento de ascensores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-11-23,"2","121360,08","143608,66",,"A-8/24",2023-12-22,,"TK Elevadores España,S.L.","NIF","B46001897",FALSE,"121360,08","146845,7"
"12719074","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=iPWuzt78BVMzjChw4z%2FXvw%3D%3D",2023-12-26 20:03:06,"VIGENTE",2023-05-11,"Resuelta","A-17/23","Servicios informáticos del proyecto colaborativo “Recursos educativos digitales: calidad y compartición en abierto""",,"126905,78","126905,78","153556","72212211;72415000;72300000;72413000;72212780;","5","72212211","Servicios de desarrollo de software de interconectividad de plataformas","72415000","Servicios de hospedaje de operación de sitios web www","72300000","Servicios relacionados con datos","72413000","Servicios de diseño de sitios web www","72212780","Servicios de desarrollo de software de gestión de sistemas, almacenamiento y contenido",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios","No","ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Urgente","Electrónica",2023-05-29 23:59:00,,"2014/24/EU","No","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","UNIDIGITAL C21.I5.P1.S7. BDNS 582721, subproyecto del Proyecto de UNIDIGITAL del Ministerio de Universidades número 7.","No","El adjudicatario podrá subcontratar con un tercero la realización de algún tratamiento que le hubieran encomendado las universidades participantes en aquellos casos que reciba de éstas autorización para ello.",,"Sin lotes","Servicios informáticos del proyecto colaborativo “Recursos educativos digitales: calidad y compartición en abierto""","126905,78","153556","126905,78","72212211;72415000;72300000;72413000;72212780;","5","72212211","Servicios de desarrollo de software de interconectividad de plataformas","72415000","Servicios de hospedaje de operación de sitios web www","72300000","Servicios relacionados con datos","72413000","Servicios de diseño de sitios web www","72212780","Servicios de desarrollo de software de gestión de sistemas, almacenamiento y contenido",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2023-06-21,"2","98000","120560,49",,"A-17/23",2023-07-06,,"Consulting Imarina 2012, s.l","NIF","B19500032",TRUE,"120560,49","145878,19"
"12483511","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FT9hjvd2Hlemq21uxhbaVQ%3D%3D",2023-12-22 16:46:27,"VIGENTE",2023-04-03,"Resuelta","S-8/23","Suministro e instalación en el Servicio Interdepartamental de Investigación (SIdI) de la UAM de tres Espectrómetros, uno de Fluorescencia de Rayos X por reflexión Total (TXRF) (LOTE 1), otro de Micro-Fluorescencia de rayos X (µ-XRF) (LOTE 2) y otro de Masas con Plasma de Acoplamiento Inductivo en tándem (ICP-MS/MS) (LOTE 3) todos ellos de última generación.",,"523363,52","523363,52","633269,86","38433000;","1","38433000","Espectrómetros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Urgente","Electrónica",2023-04-18 23:59:00,,"2014/24/EU","Sí","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","EQC2021-007386-P",,,,"1","Lote 1: Espectrómetro de TXRF (Fluorescencia de Rayos X por Reflexión Total)",,"168371,5","139150","38433000;","1","38433000","Espectrómetros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-05-18,"1","139000","139000",,"S 8-23 L1",2023-06-10,,"Bruker Española, S.A.","NIF","A28315539",TRUE,"139000","168190"
"12483511","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FT9hjvd2Hlemq21uxhbaVQ%3D%3D",2023-12-22 16:46:27,"VIGENTE",2023-04-03,"Resuelta","S-8/23","Suministro e instalación en el Servicio Interdepartamental de Investigación (SIdI) de la UAM de tres Espectrómetros, uno de Fluorescencia de Rayos X por reflexión Total (TXRF) (LOTE 1), otro de Micro-Fluorescencia de rayos X (µ-XRF) (LOTE 2) y otro de Masas con Plasma de Acoplamiento Inductivo en tándem (ICP-MS/MS) (LOTE 3) todos ellos de última generación.",,"523363,52","523363,52","633269,86","38433000;","1","38433000","Espectrómetros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Urgente","Electrónica",2023-04-18 23:59:00,,"2014/24/EU","Sí","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","EQC2021-007386-P",,,,"2","Lote 2: Espectrómetro de µ-XRF (Micro-fluorescencia de rayos X)",,"187295,9","154790","38433000;","1","38433000","Espectrómetros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-05-18,"1","154000","154000",,"S 8-23 L2",2023-06-10,,"Bruker Española, S.A.","NIF","A28315539",TRUE,"154000","186340"
"12483511","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FT9hjvd2Hlemq21uxhbaVQ%3D%3D",2023-12-22 16:46:27,"VIGENTE",2023-04-03,"Resuelta","S-8/23","Suministro e instalación en el Servicio Interdepartamental de Investigación (SIdI) de la UAM de tres Espectrómetros, uno de Fluorescencia de Rayos X por reflexión Total (TXRF) (LOTE 1), otro de Micro-Fluorescencia de rayos X (µ-XRF) (LOTE 2) y otro de Masas con Plasma de Acoplamiento Inductivo en tándem (ICP-MS/MS) (LOTE 3) todos ellos de última generación.",,"523363,52","523363,52","633269,86","38433000;","1","38433000","Espectrómetros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Urgente","Electrónica",2023-04-18 23:59:00,,"2014/24/EU","Sí","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","EQC2021-007386-P",,,,"3","Lote 3: Espectrómetro en tándem ICP-MS/MS (Masas con Plasma de Acoplamiento Inductivo en tándem (ICP-MS/MS))",,"277602,46","229423,52","38433000;","1","38433000","Espectrómetros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2023-05-18,"2","0","223285,02",,"S 8-23 L3",2023-06-10,,"AGILENT TECHNOLOGIES SPAIN SL","NIF","B86907128",FALSE,"223285,02","270174,87"
"11412473","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2F9korjOnvgqiEJrVRqloyA%3D%3D",2023-12-22 16:36:59,"VIGENTE",2022-10-23,"Resuelta","S-36/22","“Suministro y puesta en marcha de un licuefactor de helio en los Servicios Generales de Apoyo a la Investigación Experimental (SEGAINVEX) de la Universidad Autónoma de Madrid",,"1203000","1203000","1455630","42511200;42500000;","2","42511200","Aparatos para la licuefacción de aire u otros gases","42500000","Equipos de refrigeración y ventilación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2022-11-07 23:59:00,,"2014/24/EU","Sí","Sí - Asociado al Plan de Recuperación, Transformación y Resiliencia","EQC2021-007277-P",,"Se permite la subcontratación de componentes o subsistemas, siempre que el contratista principal se haga cargo de la integración y suministro finales.",,"Sin lotes","“Suministro y puesta en marcha de un licuefactor de helio en los Servicios Generales de Apoyo a la Investigación Experimental (SEGAINVEX) de la Universidad Autónoma de Madrid","1203000","1455630","1203000","42511200;42500000;","2","42511200","Aparatos para la licuefacción de aire u otros gases","42500000","Equipos de refrigeración y ventilación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Formalizado",2022-12-14,"1","1202950","1202950",,"S-36/22",2022-12-27,,"TECNOLOGÍA DE VACÍO, S.L.U","NIF","B81554008",TRUE,"1202950","1455569,5"
"8941053","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=o%2BNHPDvO2hHnSoTX3z%2F7wA%3D%3D",2023-12-22 16:27:30,"VIGENTE",2021-12-22,"Resuelta","S-7/22","Suministro de material de oficina para la Universidad Autónoma de Madrid.",,"210743,79","70247,93","85000","30000000;","1","30000000","Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2022-01-10 23:59:00,,"2014/24/EU","No","No",,,,,"Sin lotes","Suministro de material de oficina para la Universidad Autónoma de Madrid.","210743,79","85000","70247,93","30000000;","1","30000000","Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2022-02-10,"2","26,02","35,2",,"S-7/22",2022-03-07,,"SUMOSA MUNDOCOP, S.L.","NIF","B78754108",TRUE,"35,2","35,2"
"8142042","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=3JtvkeTccvASugstABGr5A%3D%3D",2023-12-22 16:25:51,"VIGENTE",2021-08-11,"Resuelta","S-5/22","Contrato mixto, suministro de nitrógeno líquido, la instalación de depósitos criogénicos, sistemas de telemetría y televigilancia y el mantenimiento de los depósitos e instalaciones asociadas, en la Universidad Autónoma de Madrid",,"941101,62","533581,62","645633,76","24111800;45220000;","2","24111800","Nitrógeno líquido","45220000","Obras de ingeniería y trabajos de construcción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suministros",,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Rectorado de la Universidad Autónoma de Madrid","40410210076921","Q2818013A","U02300001","https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=2S%2Bw20IJp5sQK2TEfXGy%2BA%3D%3D","Organismo de Derecho público bajo el control de una autoridad regional","28049","Abierto","No aplica","Ordinaria","Electrónica",2021-10-15 14:00:00,,"2014/24/EU","Sí","No",,,,,"Sin lotes","Contrato mixto, suministro de nitrógeno líquido, la instalación de depósitos criogénicos, sistemas de telemetría y televigilancia y el mantenimiento de los depósitos e instalaciones asociadas, en la Universidad Autónoma de Madrid","941101,62","645633,76","533581,62","24111800;45220000;","2","24111800","Nitrógeno líquido","45220000","Obras de ingeniería y trabajos de construcción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ES300 - Madrid","Madrid","40.40841191","-3.68760088","Adjudicado",2021-11-12,"1","523308,8","523308,8",,"S-5/22",2021-12-10,,"AL AIR LIQUIDE ESPAÑA S.A.","NIF","A28016814",FALSE,"523308,8","633203,65"
